Force,z,cos,sin,sq,time,realz,realtheta
2.37,28.9,-0.14,0.99,0.99,36496,"
30",90
2.3,28.06,-0.13,1,1.01,36571,"
30",90
2.31,26.96,-0.17,1.01,1.04,36646,"
30",90
2.16,26.57,-0.17,1.01,1.05,36722,"
30",90
2.15,24.86,-0.13,1.03,1.07,36797,"
30",90
2.38,22.94,-0.1,1.01,1.04,36872,"
30",90
2.35,24.92,-0.1,1.02,1.06,36947,"
30",90
2.12,23.53,-0.08,1.04,1.1,37022,"
30",90
2.11,24.47,-0.09,1.04,1.09,37097,"
30",90
1.98,28.15,-0.21,1,1.05,37172,"
30",90
1.95,30.06,-0.24,1,1.06,37247,"
30",90
2.04,29.24,-0.26,0.98,1.04,37323,"
30",90
1.87,33.61,-0.26,0.99,1.05,37398,"
30",90
2.01,30.93,-0.28,0.99,1.06,37473,"
30",90
2.01,31.86,-0.26,1,1.07,37548,"
30",90
2.09,31.19,-0.22,1.01,1.07,37623,"
30",90
2.18,31.67,-0.22,1.01,1.06,37699,"
30",90
2.15,32.72,-0.21,1,1.05,37774,"
30",90
2,32.54,-0.19,1.01,1.05,37849,"
30",90
2,30.44,-0.19,1.01,1.05,37924,"
30",90
1.99,30.26,-0.2,0.99,1.03,38000,"
30",90
1.8,31.89,-0.19,1,1.04,38075,"
30",90
1.78,33.56,-0.27,1.01,1.09,38150,"
30",90
1.89,38.25,-0.12,1.01,1.04,38687,"
30",90
1.95,36.83,-0.12,1.02,1.05,38763,"
30",90
1.87,38.58,-0.19,1.02,1.07,38838,"
30",90
1.82,42.78,-0.16,1.01,1.05,38913,"
30",90
1.74,47.54,-0.21,1.04,1.13,38989,"
30",90
1.77,42.29,-0.04,0.99,0.99,39136,"
30",90
1.75,41.1,-0.09,1,1.01,39211,"
30",90
1.82,40.92,-0.12,0.99,0.99,39286,"
30",90
1.78,43.55,-0.22,0.96,0.98,39361,"
30",90
1.78,51.54,-0.21,0.97,0.98,39580,"
30",90
1.79,54.75,-0.21,0.96,0.97,39655,"
30",90
1.93,43.89,-0.16,0.99,1,39875,"
30",90
2.14,30.48,-0.16,0.99,1,40166,"
30",90
2.04,34.91,-0.2,0.99,1.03,40242,"
30",90
1.87,36.89,-0.24,1,1.07,40317,"
30",90
2.12,37.23,-0.19,0.98,1,40393,"
30",90
2.03,39.52,-0.19,0.99,1.02,40469,"
30",90
1.99,42.23,-0.17,1,1.03,40544,"
30",90
2.03,40.53,-0.15,1.02,1.07,40620,"
30",90
2.08,37.66,-0.09,1.03,1.07,40696,"
30",90
2.12,37.53,-0.05,1.03,1.06,40771,"
30",90
2.19,37.72,-0.04,1.04,1.07,40847,"
30",90
2.32,36.19,-0.02,1.01,1.02,40923,"
30",90
2.26,37.68,-0.06,1,1.01,40998,"
30",90
2.2,40.98,-0.12,1,1.02,41073,"
30",90
2.02,42.73,-0.13,0.98,0.98,41149,"
30",90
1.94,43.95,-0.14,1,1.03,41224,"
30",90
1.88,58.18,1.02,-0.07,1.05,47514,"55
",90
1.87,82.88,1.03,-0.1,1.08,47589,"55
",90
1.86,97.51,1.02,-0.07,1.04,47664,"55
",90
1.86,104.12,1.01,-0.11,1.04,47739,"55
",90
1.9,80.92,0.98,-0.27,1.04,47887,"55
",90
1.9,105.57,0.96,-0.38,1.06,47962,"55
",90
1.87,98.92,0.99,-0.18,1.01,48181,"55
",90
